sample	kind	pid	starttime	clock_tick_hz	uptime_seconds	elapsed_seconds	utime	stime	cutime	cstime	own_delta_jiffies	child_delta_jiffies	delta_jiffies	own_cpu_one_core_percent	child_cpu_one_core_percent	cpu_one_core_percent
0	boundary	393286	1389089	100	13921.52	0	188	42	62	126	null	null	null	null	null	null
1	interval	393286	1389089	100	13922.53	1.010000	192	43	62	126	5	0	5	4.950495	0.000000	4.950495
2	interval	393286	1389089	100	13923.53	1.000000	197	44	64	128	6	4	10	6.000000	4.000000	10.000000
3	interval	393286	1389089	100	13924.53	1.000000	200	45	65	131	4	4	8	4.000000	4.000000	8.000000
4	interval	393286	1389089	100	13925.53	1.000000	203	46	65	131	4	0	4	4.000000	0.000000	4.000000
5	interval	393286	1389089	100	13926.53	1.000000	207	47	68	139	5	11	16	5.000000	11.000000	16.000000
6	interval	393286	1389089	100	13927.53	1.000000	210	48	70	141	4	4	8	4.000000	4.000000	8.000000
7	interval	393286	1389089	100	13928.53	1.000000	214	49	70	141	5	0	5	5.000000	0.000000	5.000000
8	interval	393286	1389089	100	13929.53	1.000000	217	50	71	144	4	4	8	4.000000	4.000000	8.000000
9	interval	393286	1389089	100	13930.53	1.000000	227	52	72	146	12	3	15	12.000000	3.000000	15.000000
10	interval	393286	1389089	100	13931.53	1.000000	234	54	77	155	9	14	23	9.000000	14.000000	23.000000
11	interval	393286	1389089	100	13932.53	1.000000	240	55	77	157	7	2	9	7.000000	2.000000	9.000000
12	interval	393286	1389089	100	13933.53	1.000000	244	56	79	159	5	4	9	5.000000	4.000000	9.000000
13	interval	393286	1389089	100	13934.53	1.000000	247	57	79	159	4	0	4	4.000000	0.000000	4.000000
14	interval	393286	1389089	100	13935.52	0.990000	252	58	80	161	6	3	9	6.060606	3.030303	9.090909
15	interval	393286	1389089	100	13936.52	1.000000	256	59	84	171	5	14	19	5.000000	14.000000	19.000000
16	interval	393286	1389089	100	13937.53	1.010000	260	60	85	172	5	2	7	4.950495	1.980198	6.930693
17	interval	393286	1389089	100	13938.53	1.000000	263	61	85	174	4	2	6	4.000000	2.000000	6.000000
18	interval	393286	1389089	100	13939.53	1.000000	266	63	86	177	5	4	9	5.000000	4.000000	9.000000
19	interval	393286	1389089	100	13940.53	1.000000	270	64	86	177	5	0	5	5.000000	0.000000	5.000000
20	interval	393286	1389089	100	13941.53	1.000000	274	64	92	188	4	17	21	4.000000	17.000000	21.000000
21	interval	393286	1389089	100	13942.53	1.000000	276	66	93	190	4	3	7	4.000000	3.000000	7.000000
22	interval	393286	1389089	100	13943.53	1.000000	280	67	93	191	5	1	6	5.000000	1.000000	6.000000
