sample	kind	pid	starttime	clock_tick_hz	uptime_seconds	elapsed_seconds	utime	stime	cutime	cstime	own_delta_jiffies	child_delta_jiffies	delta_jiffies	own_cpu_one_core_percent	child_cpu_one_core_percent	cpu_one_core_percent
0	boundary	408561	1405747	100	14088.36	0	232	46	66	129	null	null	null	null	null	null
1	interval	408561	1405747	100	14089.37	1.010000	236	47	66	129	5	0	5	4.950495	0.000000	4.950495
2	interval	408561	1405747	100	14090.37	1.000000	241	48	68	132	6	5	11	6.000000	5.000000	11.000000
3	interval	408561	1405747	100	14091.37	1.000000	245	49	69	135	5	4	9	5.000000	4.000000	9.000000
4	interval	408561	1405747	100	14092.37	1.000000	249	50	69	136	5	1	6	5.000000	1.000000	6.000000
5	interval	408561	1405747	100	14093.36	0.990000	253	51	72	144	5	11	16	5.050505	11.111111	16.161616
6	interval	408561	1405747	100	14094.36	1.000000	257	52	74	146	5	4	9	5.000000	4.000000	9.000000
7	interval	408561	1405747	100	14095.37	1.010000	260	53	74	146	4	0	4	3.960396	0.000000	3.960396
8	interval	408561	1405747	100	14096.37	1.000000	265	54	75	149	6	4	10	6.000000	4.000000	10.000000
9	interval	408561	1405747	100	14097.37	1.000000	269	55	76	151	5	3	8	5.000000	3.000000	8.000000
10	interval	408561	1405747	100	14098.37	1.000000	273	57	79	160	6	12	18	6.000000	12.000000	18.000000
11	interval	408561	1405747	100	14099.37	1.000000	277	58	80	162	5	3	8	5.000000	3.000000	8.000000
12	interval	408561	1405747	100	14100.37	1.000000	282	58	82	166	5	6	11	5.000000	6.000000	11.000000
13	interval	408561	1405747	100	14101.37	1.000000	286	59	82	166	5	0	5	5.000000	0.000000	5.000000
14	interval	408561	1405747	100	14102.37	1.000000	291	60	83	168	6	3	9	6.000000	3.000000	9.000000
15	interval	408561	1405747	100	14103.37	1.000000	295	61	88	179	5	16	21	5.000000	16.000000	21.000000
16	interval	408561	1405747	100	14104.37	1.000000	299	63	88	179	6	0	6	6.000000	0.000000	6.000000
17	interval	408561	1405747	100	14105.37	1.000000	303	64	89	181	5	3	8	5.000000	3.000000	8.000000
18	interval	408561	1405747	100	14106.36	0.990000	308	65	90	184	6	4	10	6.060606	4.040404	10.101010
19	interval	408561	1405747	100	14107.36	1.000000	312	65	90	184	4	0	4	4.000000	0.000000	4.000000
20	interval	408561	1405747	100	14108.36	1.000000	317	67	95	194	7	15	22	7.000000	15.000000	22.000000
21	interval	408561	1405747	100	14109.36	1.000000	321	68	96	196	5	3	8	5.000000	3.000000	8.000000
22	interval	408561	1405747	100	14110.36	1.000000	326	69	98	198	6	4	10	6.000000	4.000000	10.000000
23	interval	408561	1405747	100	14111.37	1.010000	330	70	99	200	5	3	8	4.950495	2.970297	7.920792
24	interval	408561	1405747	100	14112.37	1.000000	335	71	100	203	6	4	10	6.000000	4.000000	10.000000
25	interval	408561	1405747	100	14113.37	1.000000	339	72	102	209	5	8	13	5.000000	8.000000	13.000000
26	interval	408561	1405747	100	14114.37	1.000000	344	73	103	212	6	4	10	6.000000	4.000000	10.000000
27	interval	408561	1405747	100	14115.37	1.000000	347	75	104	214	5	3	8	5.000000	3.000000	8.000000
28	interval	408561	1405747	100	14116.37	1.000000	352	75	104	215	5	1	6	5.000000	1.000000	6.000000
29	interval	408561	1405747	100	14117.37	1.000000	356	76	105	217	5	3	8	5.000000	3.000000	8.000000
30	interval	408561	1405747	100	14118.37	1.000000	363	77	110	229	8	17	25	8.000000	17.000000	25.000000
31	interval	408561	1405747	100	14119.37	1.000000	367	78	110	229	5	0	5	5.000000	0.000000	5.000000
32	interval	408561	1405747	100	14120.37	1.000000	372	79	113	232	6	6	12	6.000000	6.000000	12.000000
33	interval	408561	1405747	100	14121.37	1.000000	376	81	114	235	6	4	10	6.000000	4.000000	10.000000
34	interval	408561	1405747	100	14122.37	1.000000	380	82	114	235	5	0	5	5.000000	0.000000	5.000000
35	interval	408561	1405747	100	14123.37	1.000000	384	83	117	244	5	12	17	5.000000	12.000000	17.000000
36	interval	408561	1405747	100	14124.36	0.990000	389	85	118	247	7	4	11	7.070707	4.040404	11.111111
37	interval	408561	1405747	100	14125.36	1.000000	393	86	118	247	5	0	5	5.000000	0.000000	5.000000
38	interval	408561	1405747	100	14126.36	1.000000	398	88	120	249	7	4	11	7.000000	4.000000	11.000000
39	interval	408561	1405747	100	14127.37	1.010000	402	89	120	252	5	3	8	4.950495	2.970297	7.920792
40	interval	408561	1405747	100	14128.37	1.000000	408	90	124	259	7	11	18	7.000000	11.000000	18.000000
41	interval	408561	1405747	100	14129.37	1.000000	413	90	125	261	5	3	8	5.000000	3.000000	8.000000
42	interval	408561	1405747	100	14130.37	1.000000	418	92	128	266	7	8	15	7.000000	8.000000	15.000000
43	interval	408561	1405747	100	14131.37	1.000000	422	93	128	266	5	0	5	5.000000	0.000000	5.000000
44	interval	408561	1405747	100	14132.37	1.000000	428	94	129	268	7	3	10	7.000000	3.000000	10.000000
45	interval	408561	1405747	100	14133.37	1.000000	432	95	132	277	5	12	17	5.000000	12.000000	17.000000
46	interval	408561	1405747	100	14134.37	1.000000	436	96	132	277	5	0	5	5.000000	0.000000	5.000000
47	interval	408561	1405747	100	14135.37	1.000000	441	96	133	279	5	3	8	5.000000	3.000000	8.000000
48	interval	408561	1405747	100	14136.37	1.000000	446	98	134	282	7	4	11	7.000000	4.000000	11.000000
49	interval	408561	1405747	100	14137.37	1.000000	451	99	134	282	6	0	6	6.000000	0.000000	6.000000
50	interval	408561	1405747	100	14138.37	1.000000	456	100	138	292	6	14	20	6.000000	14.000000	20.000000
51	interval	408561	1405747	100	14139.37	1.000000	461	101	139	294	6	3	9	6.000000	3.000000	9.000000
52	interval	408561	1405747	100	14140.37	1.000000	467	102	141	297	7	5	12	7.000000	5.000000	12.000000
53	interval	408561	1405747	100	14141.37	1.000000	472	103	141	299	6	2	8	6.000000	2.000000	8.000000
54	interval	408561	1405747	100	14142.37	1.000000	477	104	143	302	6	5	11	6.000000	5.000000	11.000000
55	interval	408561	1405747	100	14143.37	1.000000	481	105	145	308	5	8	13	5.000000	8.000000	13.000000
56	interval	408561	1405747	100	14144.37	1.000000	485	106	146	311	5	4	9	5.000000	4.000000	9.000000
57	interval	408561	1405747	100	14145.37	1.000000	489	107	146	313	5	2	7	5.000000	2.000000	7.000000
58	interval	408561	1405747	100	14146.37	1.000000	494	108	147	313	6	1	7	6.000000	1.000000	7.000000
59	interval	408561	1405747	100	14147.37	1.000000	498	109	147	316	5	3	8	5.000000	3.000000	8.000000
60	interval	408561	1405747	100	14148.37	1.000000	503	111	152	329	7	18	25	7.000000	18.000000	25.000000
61	interval	408561	1405747	100	14149.37	1.000000	508	112	152	329	6	0	6	6.000000	0.000000	6.000000
62	interval	408561	1405747	100	14150.37	1.000000	512	114	155	333	6	7	13	6.000000	7.000000	13.000000
63	interval	408561	1405747	100	14151.37	1.000000	517	115	155	335	6	2	8	6.000000	2.000000	8.000000
64	interval	408561	1405747	100	14152.37	1.000000	520	117	155	336	5	1	6	5.000000	1.000000	6.000000
