sample	kind	pid	starttime	clock_tick_hz	uptime_seconds	elapsed_seconds	utime	stime	cutime	cstime	own_delta_jiffies	child_delta_jiffies	delta_jiffies	own_cpu_one_core_percent	child_cpu_one_core_percent	cpu_one_core_percent
0	boundary	415094	1422449	100	14255.34	0	217	47	65	125	null	null	null	null	null	null
1	interval	415094	1422449	100	14256.35	1.010000	221	48	65	125	5	0	5	4.950495	0.000000	4.950495
2	interval	415094	1422449	100	14257.35	1.000000	226	50	66	128	7	4	11	7.000000	4.000000	11.000000
3	interval	415094	1422449	100	14258.35	1.000000	230	51	67	130	5	3	8	5.000000	3.000000	8.000000
4	interval	415094	1422449	100	14259.35	1.000000	234	53	68	130	6	1	7	6.000000	1.000000	7.000000
5	interval	415094	1422449	100	14260.35	1.000000	239	54	70	139	6	11	17	6.000000	11.000000	17.000000
6	interval	415094	1422449	100	14261.35	1.000000	243	55	72	140	5	3	8	5.000000	3.000000	8.000000
7	interval	415094	1422449	100	14262.35	1.000000	246	57	72	140	5	0	5	5.000000	0.000000	5.000000
8	interval	415094	1422449	100	14263.35	1.000000	251	58	73	143	6	4	10	6.000000	4.000000	10.000000
9	interval	415094	1422449	100	14264.35	1.000000	256	59	74	146	6	4	10	6.000000	4.000000	10.000000
10	interval	415094	1422449	100	14265.35	1.000000	269	61	78	156	15	14	29	15.000000	14.000000	29.000000
11	interval	415094	1422449	100	14266.35	1.000000	275	63	80	159	8	5	13	8.000000	5.000000	13.000000
12	interval	415094	1422449	100	14267.35	1.000000	281	65	82	163	8	6	14	8.000000	6.000000	14.000000
13	interval	415094	1422449	100	14268.35	1.000000	293	67	84	164	14	3	17	14.000000	3.000000	17.000000
14	interval	415094	1422449	100	14269.35	1.000000	298	68	85	166	6	3	9	6.000000	3.000000	9.000000
15	interval	415094	1422449	100	14270.35	1.000000	303	69	89	176	6	14	20	6.000000	14.000000	20.000000
16	interval	415094	1422449	100	14271.35	1.000000	307	70	89	177	5	1	6	5.000000	1.000000	6.000000
17	interval	415094	1422449	100	14272.35	1.000000	311	71	90	179	5	3	8	5.000000	3.000000	8.000000
18	interval	415094	1422449	100	14273.35	1.000000	316	71	91	182	5	4	9	5.000000	4.000000	9.000000
19	interval	415094	1422449	100	14274.35	1.000000	320	72	91	182	5	0	5	5.000000	0.000000	5.000000
20	interval	415094	1422449	100	14275.35	1.000000	326	74	96	191	8	14	22	8.000000	14.000000	22.000000
21	interval	415094	1422449	100	14276.35	1.000000	331	75	97	193	6	3	9	6.000000	3.000000	9.000000
22	interval	415094	1422449	100	14277.35	1.000000	337	76	97	193	7	0	7	7.000000	0.000000	7.000000
23	interval	415094	1422449	100	14278.35	1.000000	342	77	99	197	6	6	12	6.000000	6.000000	12.000000
24	interval	415094	1422449	100	14279.35	1.000000	348	78	100	200	7	4	11	7.000000	4.000000	11.000000
25	interval	415094	1422449	100	14280.35	1.000000	352	79	103	206	5	9	14	5.000000	9.000000	14.000000
26	interval	415094	1422449	100	14281.35	1.000000	358	81	104	208	8	3	11	8.000000	3.000000	11.000000
27	interval	415094	1422449	100	14282.35	1.000000	362	82	105	210	5	3	8	5.000000	3.000000	8.000000
28	interval	415094	1422449	100	14283.35	1.000000	367	84	105	211	7	1	8	7.000000	1.000000	8.000000
29	interval	415094	1422449	100	14284.35	1.000000	372	85	106	213	6	3	9	6.000000	3.000000	9.000000
30	interval	415094	1422449	100	14285.35	1.000000	379	87	111	224	9	16	25	9.000000	16.000000	25.000000
31	interval	415094	1422449	100	14286.35	1.000000	383	88	111	224	5	0	5	5.000000	0.000000	5.000000
32	interval	415094	1422449	100	14287.34	0.990000	388	89	113	227	6	5	11	6.060606	5.050505	11.111111
33	interval	415094	1422449	100	14288.34	1.000000	393	90	114	231	6	5	11	6.000000	5.000000	11.000000
34	interval	415094	1422449	100	14289.34	1.000000	398	91	114	231	6	0	6	6.000000	0.000000	6.000000
35	interval	415094	1422449	100	14290.34	1.000000	403	92	116	240	6	11	17	6.000000	11.000000	17.000000
36	interval	415094	1422449	100	14291.34	1.000000	409	93	118	243	7	5	12	7.000000	5.000000	12.000000
37	interval	415094	1422449	100	14292.35	1.010000	413	94	118	243	5	0	5	4.950495	0.000000	4.950495
38	interval	415094	1422449	100	14293.35	1.000000	419	95	119	245	7	3	10	7.000000	3.000000	10.000000
39	interval	415094	1422449	100	14294.35	1.000000	423	96	119	248	5	3	8	5.000000	3.000000	8.000000
40	interval	415094	1422449	100	14295.35	1.000000	428	97	123	256	6	12	18	6.000000	12.000000	18.000000
41	interval	415094	1422449	100	14296.35	1.000000	433	98	124	258	6	3	9	6.000000	3.000000	9.000000
42	interval	415094	1422449	100	14297.35	1.000000	438	99	125	261	6	4	10	6.000000	4.000000	10.000000
43	interval	415094	1422449	100	14298.35	1.000000	442	101	126	262	6	2	8	6.000000	2.000000	8.000000
44	interval	415094	1422449	100	14299.35	1.000000	446	102	127	264	5	3	8	5.000000	3.000000	8.000000
45	interval	415094	1422449	100	14300.35	1.000000	451	103	130	272	6	11	17	6.000000	11.000000	17.000000
46	interval	415094	1422449	100	14301.35	1.000000	455	104	130	273	5	1	6	5.000000	1.000000	6.000000
47	interval	415094	1422449	100	14302.35	1.000000	459	105	131	276	5	4	9	5.000000	4.000000	9.000000
48	interval	415094	1422449	100	14303.35	1.000000	464	106	132	278	6	3	9	6.000000	3.000000	9.000000
