sample	kind	pid	starttime	clock_tick_hz	uptime_seconds	elapsed_seconds	utime	stime	cutime	cstime	own_delta_jiffies	child_delta_jiffies	delta_jiffies	own_cpu_one_core_percent	child_cpu_one_core_percent	cpu_one_core_percent
0	boundary	421540	1439147	100	14422.27	0	226	50	65	123	null	null	null	null	null	null
1	interval	421540	1439147	100	14423.28	1.010000	231	52	65	123	7	0	7	6.930693	0.000000	6.930693
2	interval	421540	1439147	100	14424.28	1.000000	238	53	66	126	8	4	12	8.000000	4.000000	12.000000
3	interval	421540	1439147	100	14425.28	1.000000	242	54	67	128	5	3	8	5.000000	3.000000	8.000000
4	interval	421540	1439147	100	14426.28	1.000000	247	56	67	129	7	1	8	7.000000	1.000000	8.000000
5	interval	421540	1439147	100	14427.28	1.000000	251	57	71	137	5	12	17	5.000000	12.000000	17.000000
6	interval	421540	1439147	100	14428.28	1.000000	256	59	72	139	7	3	10	7.000000	3.000000	10.000000
7	interval	421540	1439147	100	14429.27	0.990000	261	60	72	139	6	0	6	6.060606	0.000000	6.060606
8	interval	421540	1439147	100	14430.28	1.010000	266	61	74	141	6	4	10	5.940594	3.960396	9.900990
9	interval	421540	1439147	100	14431.28	1.000000	270	62	74	144	5	3	8	5.000000	3.000000	8.000000
10	interval	421540	1439147	100	14432.28	1.000000	275	64	78	154	7	14	21	7.000000	14.000000	21.000000
11	interval	421540	1439147	100	14433.28	1.000000	281	64	79	156	6	3	9	6.000000	3.000000	9.000000
12	interval	421540	1439147	100	14434.28	1.000000	286	66	80	159	7	4	11	7.000000	4.000000	11.000000
13	interval	421540	1439147	100	14435.28	1.000000	290	67	80	159	5	0	5	5.000000	0.000000	5.000000
14	interval	421540	1439147	100	14436.28	1.000000	295	68	81	161	6	3	9	6.000000	3.000000	9.000000
15	interval	421540	1439147	100	14437.28	1.000000	300	70	84	172	7	14	21	7.000000	14.000000	21.000000
16	interval	421540	1439147	100	14438.27	0.990000	305	71	85	173	6	2	8	6.060606	2.020202	8.080808
17	interval	421540	1439147	100	14439.28	1.010000	309	72	85	175	5	2	7	4.950495	1.980198	6.930693
18	interval	421540	1439147	100	14440.28	1.000000	314	73	87	177	6	4	10	6.000000	4.000000	10.000000
19	interval	421540	1439147	100	14441.28	1.000000	317	74	87	177	4	0	4	4.000000	0.000000	4.000000
20	interval	421540	1439147	100	14442.28	1.000000	322	76	92	189	7	17	24	7.000000	17.000000	24.000000
21	interval	421540	1439147	100	14443.28	1.000000	326	76	93	191	4	3	7	4.000000	3.000000	7.000000
22	interval	421540	1439147	100	14444.28	1.000000	331	77	94	191	6	1	7	6.000000	1.000000	7.000000
23	interval	421540	1439147	100	14445.28	1.000000	336	79	94	193	7	2	9	7.000000	2.000000	9.000000
24	interval	421540	1439147	100	14446.28	1.000000	339	81	96	196	5	5	10	5.000000	5.000000	10.000000
25	interval	421540	1439147	100	14447.27	0.990000	344	82	98	202	6	8	14	6.060606	8.080808	14.141414
26	interval	421540	1439147	100	14448.28	1.010000	350	83	99	205	7	4	11	6.930693	3.960396	10.891089
27	interval	421540	1439147	100	14449.28	1.000000	354	84	100	207	5	3	8	5.000000	3.000000	8.000000
28	interval	421540	1439147	100	14450.28	1.000000	360	86	100	207	8	0	8	8.000000	0.000000	8.000000
29	interval	421540	1439147	100	14451.28	1.000000	365	87	101	209	6	3	9	6.000000	3.000000	9.000000
30	interval	421540	1439147	100	14452.28	1.000000	370	89	108	223	7	21	28	7.000000	21.000000	28.000000
31	interval	421540	1439147	100	14453.28	1.000000	375	90	108	223	6	0	6	6.000000	0.000000	6.000000
32	interval	421540	1439147	100	14454.27	0.990000	381	91	109	226	7	4	11	7.070707	4.040404	11.111111
33	interval	421540	1439147	100	14455.28	1.010000	386	92	109	229	6	3	9	5.940594	2.970297	8.910891
34	interval	421540	1439147	100	14456.28	1.000000	391	94	109	229	7	0	7	7.000000	0.000000	7.000000
35	interval	421540	1439147	100	14457.28	1.000000	396	95	113	237	6	12	18	6.000000	12.000000	18.000000
36	interval	421540	1439147	100	14458.28	1.000000	402	96	114	240	7	4	11	7.000000	4.000000	11.000000
37	interval	421540	1439147	100	14459.28	1.000000	407	97	114	240	6	0	6	6.000000	0.000000	6.000000
38	interval	421540	1439147	100	14460.28	1.000000	412	98	115	242	6	3	9	6.000000	3.000000	9.000000
39	interval	421540	1439147	100	14461.28	1.000000	417	99	116	244	6	3	9	6.000000	3.000000	9.000000
40	interval	421540	1439147	100	14462.27	0.990000	422	100	120	255	6	15	21	6.060606	15.151515	21.212121
41	interval	421540	1439147	100	14463.28	1.010000	426	101	121	257	5	3	8	4.950495	2.970297	7.920792
42	interval	421540	1439147	100	14464.28	1.000000	431	102	122	259	6	3	9	6.000000	3.000000	9.000000
43	interval	421540	1439147	100	14465.28	1.000000	436	103	122	259	6	0	6	6.000000	0.000000	6.000000
44	interval	421540	1439147	100	14466.28	1.000000	441	105	123	262	7	4	11	7.000000	4.000000	11.000000
45	interval	421540	1439147	100	14467.28	1.000000	445	107	126	270	6	11	17	6.000000	11.000000	17.000000
46	interval	421540	1439147	100	14468.28	1.000000	451	108	126	271	7	1	8	7.000000	1.000000	8.000000
47	interval	421540	1439147	100	14469.28	1.000000	456	109	126	273	6	2	8	6.000000	2.000000	8.000000
